hhnum,0.25 mi,0.50 mi,1.0 mi,2.0 mi,5.0 mi,10.0 mi,15.0 mi,30.0 mi,0.25 mi_ff,0.50 mi_ff,1.0 mi_ff,2.0 mi_ff,5.0 mi_ff,10.0 mi_ff,15.0 mi_ff,30.0 mi_ff,nearsnap_dist,nearsnap_stype,nearff_dist
101744,0,0,0,0,1,13,24,109,0,0,0,0,0,2,3,37,4.47,CS,9.62
101749,0,1,10,18,59,153,213,406,0,0,7,12,51,123,155,212,0.5,SG,0.53
101750,1,10,30,60,139,184,221,498,0,0,6,22,90,115,122,135,0.02,CS,0.53
101752,0,1,6,14,55,218,321,366,0,7,14,24,39,63,68,81,0.38,SS,0.4
101756,0,1,18,64,289,968,2415,7527,0,0,11,31,183,188,276,1353,0.46,CS,0.62
101757,0,0,0,0,5,19,103,730,0,0,0,0,3,20,74,80,2.85,CO,3.22
101758,3,6,19,48,227,804,1605,6123,3,8,18,56,223,736,855,1057,0.08,CS,0.05
101759,1,4,9,26,120,153,160,216,0,0,18,28,98,122,125,131,0.09,CO,0.5
101761,0,2,12,40,80,91,101,164,0,7,12,19,44,56,56,56,0.34,CS,0.35
101763,3,12,36,134,259,329,545,1516,0,5,8,26,88,128,163,288,0.13,SG,0.34
101771,2,7,14,69,367,1092,2034,6963,0,5,14,50,298,678,831,1057,0.04,CS,0.42
101776,0,1,5,6,54,114,302,1201,0,0,1,1,14,15,24,99,0.47,CO,0.93
101777,0,0,0,0,8,11,16,161,0,0,0,0,5,9,14,19,2.4,CS,2.8
101784,0,0,9,18,71,188,218,519,0,0,6,24,55,117,130,137,0.59,SS,0.69
101785,0,0,0,0,13,26,46,184,0,0,0,0,12,13,25,77,3.75,CS,4.04
101790,0,0,10,28,84,167,293,1724,0,0,7,22,67,125,228,352,0.58,CS,0.57
101794,5,11,40,107,396,977,2127,5784,0,5,13,53,240,473,906,1366,0.09,BB,0.43
101795,1,1,5,16,99,544,1162,2962,1,1,3,8,56,124,379,869,0.18,CS,0.18
101797,0,3,15,37,84,162,280,1758,0,1,19,25,67,124,218,352,0.44,CS,0.42
101803,1,3,15,69,140,2744,7041,14471,0,2,3,7,33,210,428,428,0.06,CS,0.4
